Customer name,Recency,Frequency,Monetary
Customer_451,187.8375,4,5308040.47276309
Customer_369,137.07638888888889,5,5129403.3803074155
Customer_333,110.06458333333333,10,3841503.818382258
Customer_438,177.18472222222223,3,3363853.6085164035
Customer_400,153.99652777777777,3,3351197.8442323483
Customer_449,185.05694444444444,3,2765312.894599512
Customer_362,130.05069444444445,3,2728686.6689933627
Customer_328,105.18819444444445,4,2307909.9115353087
Customer_347,119.04027777777777,7,2129157.2489717626
Customer_398,153.92083333333332,3,1945517.9501041211
Customer_348,119.72291666666666,3,1520355.5626344658
Customer_459,189.13958333333332,3,1502660.8209205884
Customer_409,158.09652777777777,4,1467390.060838859
Customer_421,166.18194444444444,6,1452206.1100224592
Customer_356,127.01666666666667,6,1350905.0943367765
Customer_339,112.1125,5,1284732.064615942
Customer_395,153.14097222222222,3,1243674.1491465364
Customer_403,155.9638888888889,3,1176242.0138021046
Customer_349,119.92569444444445,3,1112796.922319864
Customer_329,106.95555555555555,3,1051735.0500280876
Customer_389,150.08958333333334,3,1038688.7742835563
Customer_374,138.85069444444446,7,1015582.54011943
Customer_408,158.01388888888889,3,999839.9348132219
Customer_363,131.93055555555554,4,971553.6639359926
Customer_381,143.13888888888889,3,953522.9523914459
Customer_447,183.99444444444444,4,952782.5138193136
Customer_353,124.03125,3,927044.8850299243
Customer_482,206.84583333333333,3,757498.6112869461
Customer_446,182.01944444444445,6,741212.0662241569
Customer_338,112.10833333333333,4,712441.7949893686
Customer_411,159.9923611111111,3,706895.4726768967
Customer_489,211.85625,3,677318.6853262596
Customer_457,189.05833333333334,3,621284.6312252805
Customer_355,126.93819444444445,3,494161.4075156674
Customer_335,110.89305555555555,3,489530.39054536493
Customer_345,117.10416666666667,4,470365.6985871028
Customer_460,189.1652777777778,6,405619.2706189258
Customer_424,166.9465277777778,4,348239.42641864065
Customer_326,103.16180555555556,4,343656.15362734534
Customer_375,138.98194444444445,4,288854.45336211706
Customer_461,190.98194444444445,4,241443.82961746305
Customer_513,232.86875,3,237499.78480266873
Customer_512,231.04652777777778,3,221722.76921447366
Customer_468,194.9388888888889,3,214482.44734015316
Customer_391,152.19722222222222,3,118410.45823111199
Customer_429,170.85833333333332,3,37523.092919029295
